VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,17.14,23.99,1750.0,44198.0,757553.7200000103,43533.0,1093841.669999965,364814.6400000193,79984.57999999775,50293.62000000002,336287.94999995467,30.74375014438474,0.984954070319924,1.4439130072517499
17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,53.96,67.99,1750.0,13759.0,742435.6400000077,13210.0,910688.8999999809,453044.27999999793,24275.310000000576,123780.21999999997,168253.25999997323,18.47538275694112,0.960098844392761,1.2266233609151245
3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,17.59,22.99,750.0,41893.0,736897.8699999982,41506.0,967005.9399999724,361149.79000002064,32678.120000000243,257032.07000000007,230108.0699999741,23.79593138796859,0.990762179839114,1.3122658910657112
17035,PERNOD RICARD USA,5365,Kahlua,14.84,18.99,750.0,48583.0,720971.7199999975,48615.0,932815.8499999844,323296.76000002783,38272.73000000061,123780.21999999997,211844.12999998685,22.710176933634905,1.0006586666117778,1.2938314002107982
3960,DIAGEO NORTH AMERICA INC,3876,Smirnoff 80 Proof,13.95,19.99,1750.0,50962.0,710919.9000000035,64266.0,1210481.3399999784,298050.96000002266,118078.44999999626,257032.07000000007,499561.4399999749,41.269652285592755,1.2610572583493584,1.7026972236956266
1392,CONSTELLATION BRANDS INC,3913,Svedka Vodka,14.28,17.99,1750.0,48481.0,692308.6800000105,47805.0,875307.9499999864,271014.4300000152,87832.82999999714,79528.99,182999.26999997592,20.90684427120521,0.9860563932262123,1.264331901775337
8004,SAZERAC CO INC,3522,Platinum 7X Distilled Vodka,9.62,12.99,1750.0,71899.0,691668.3799999709,70351.0,914148.4899999863,232302.78000001097,129253.36999999234,50293.62000000002,222480.11000001535,24.337414811024704,0.9784697979109584,1.3216571935817345
1392,CONSTELLATION BRANDS INC,2114,Black Velvet Canadian Whisky,9.41,12.99,1750.0,73227.0,689066.0700000038,72043.0,948838.5699999781,229797.43000000904,132364.70999999196,79528.99,259772.49999997427,27.37794480677364,0.9838311005503435,1.3769921511299676
4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,8.44,12.99,750.0,80030.0,675453.2000000181,78392.0,1095045.0399999851,199092.2699999998,8799.81999999988,144929.24,419591.839999967,38.31731341388229,0.9795326752467824,1.6212004621489036
9552,M S WALKER INC,3893,Zhenka 80 Proof,7.93,9.99,1750.0,81447.0,645874.709999989,81723.0,816412.7699999947,171058.76999999408,150149.62999999075,55551.819999999985,170538.06000000564,20.88870559925303,1.0033887067663634,1.2640420152075758
1128,BROWN-FORMAN CORP,811,Jack Daniels No 7 Black,19.84,29.99,1000.0,32554.0,645871.359999999,32064.0,937915.3599999838,253234.70000000874,33667.19999999998,68601.68000000001,292043.99999998475,31.137564481297098,0.9849480862566812,1.4521705374890523
3960,DIAGEO NORTH AMERICA INC,2443,Seagrams VO,13.48,16.99,1750.0,47654.0,642375.9200000195,47446.0,902489.5399999743,273169.2600000142,87173.56999999666,257032.07000000007,260113.61999995483,28.821787784926816,0.9956352037604398,1.4049243004002188
660,SAZERAC NORTH AMERICA INC.,2127,Canadian Ltd,7.19,10.49,1750.0,86887.0,624717.5300000095,86195.0,899110.5499999828,183132.5599999954,158367.20999999056,17932.329999999994,274393.01999997336,30.51827386520808,0.9920356324881743,1.4392273416754757
1392,CONSTELLATION BRANDS INC,6682,R M Woodbridge Chard Cal,6.03,8.99,1500.0,101547.0,612328.4100000054,101339.0,1016328.6099999829,161300.34999999407,22776.049999999977,79528.99,404000.1999999775,39.75094236498806,0.9979516873959842,1.6597769977714638
3960,DIAGEO NORTH AMERICA INC,3798,Ciroc Apple Vodka,19.83,28.99,750.0,30830.0,611358.9000000008,29647.0,748067.5299999906,157601.6799999979,23348.14999999978,257032.07000000007,136708.62999998976,18.27490494073329,0.9616282841388258,1.2236143613841062
3960,DIAGEO NORTH AMERICA INC,4262,Capt Morgan Spiced Rum,11.19,13.99,750.0,54552.0,610436.8800000268,55710.0,862422.8999999914,241540.93000001088,43861.64000000082,257032.07000000007,251986.01999996463,29.218382304083896,1.0212274527056753,1.4127961927856547
1128,BROWN-FORMAN CORP,2015,Jack Daniels Tennessee Honey,18.1,22.99,750.0,33715.0,610241.4999999967,32969.0,771010.309999987,303753.1500000179,25959.909999999953,68601.68000000001,160768.80999999028,20.851706898704503,0.9778733501408868,1.2634511254970222
12546,JIM BEAM BRANDS COMPANY,1737,Makers Mark,34.3,51.99,1750.0,17537.0,601519.0999999947,16089.0,823521.1099999815,432234.77999999886,29564.920000000857,123880.96999999999,222002.00999998674,26.9576586810254,0.9174317158008781,1.3690689289832836
